record_id,receiving_entity,entity_type,county,fiscal_year,fiscal_year_start,fiscal_year_end,fee_program,fee_category,measure,measure_as_printed,measure_role,figure_group_id,is_primary_in_figure_group,value_usd,source_value_text,value_is_printed_zero,land_use_scope,land_use_basis,accounting_basis_source_read,gross_or_net_source_read,fiscal_year_basis,publication_title,publication_type,source_id,physical_pdf_page,printed_page,internal_identifier,source_sha256,source_pdf,official_source_url,retrieved_utc,page_extract_pdf,outlined_figure_pdf,outline_rect_pdf_points,validation_status,review_batch,reviewed_utc,measure_read_from_source,arithmetic_check,source_limitations
city-of-beaumont-2024-25-trails-total-fees-collected,City of Beaumont,city,,2024-25,2024-07-01,2025-06-30,Trails,parks_recreation_open_space,total_fees_collected,Receipts,primary_reported_figure,city-of-beaumont-2024-25-p2-1840-58,true,1840.58,"1,840.58",false,not_split_in_source,The report prints a single undivided Receipts figure per fund and no land-use breakdown. Residential share unknown.,not_stated_in_source,not_stated_in_source,report_title_and_section_66006_statement,"City of Beaumont impact fee report, fiscal year 2024-25",annual_fee_report_66006,city-of-beaumont-2024-25,2,2,page 2 / measures as columns / Trails / Receipts,e0b4ec3f7b06ca7ae70b1c935b75031fa2b2c9b9141c1d4ceb552c5341996ccd,sources/city-of-beaumont-2024-25.pdf,https://pub-beaumont.escribemeetings.com/filestream.ashx?DocumentId=8506,2026-09-14T23:05:42.751311+00:00,evidence/extracts/city-of-beaumont-p002-a1041a48.pdf,evidence/outlined/city-of-beaumont-p002-a1041a48.pdf,"[437.03228759765625, 942.8755493164062, 483.1650390625, 959.2555541992188]",published_reported_collection_reviewed_in_release_03,b01-beaumont-2024-25,2026-09-22T02:05:35.963901+00:00,"Each figure is the 'Receipts' column of the single fund roll-forward table on physical page 2, on the row of the named numbered Development Impact Fee fund. Columns are Beginning Fund Balance, Receipts, Disbursements/Transfers Out, Transfers In, Interest Earnings, Ending Fund Balance. Receipts is separate from Interest Earnings and from Transfers In.","Each fund's printed roll-forward closes: Beginning + Receipts + Interest - Disbursements = Ending, which confirms the row and column were read correctly.","The balance column headers on the same page read July 1, 2023 and June 30, 2024, contradicting the report title, table heading and Government Code section 66006 statement, which all state the fiscal year ended June 30, 2025. | Residential share of these receipts is unknown; the source does not split receipts by land use. | Accounting basis and refund treatment are not stated in the source."
city-of-beaumont-2024-25-transportation-mixed-or-unallocated-fees-collected,City of Beaumont,city,,2024-25,2024-07-01,2025-06-30,Transportation,transportation,mixed_or_unallocated_fees_collected,Receipts,secondary_measure_restatement,city-of-beaumont-2024-25-p2-294131-19,false,294131.19,"294,131.19",false,not_split_in_source,Same printed Receipts figure recorded at the mixed/unallocated land-use grain because the source reports no split. Not an additional amount.,not_stated_in_source,not_stated_in_source,report_title_and_section_66006_statement,"City of Beaumont impact fee report, fiscal year 2024-25",annual_fee_report_66006,city-of-beaumont-2024-25,2,2,page 2 / measures as columns / Transportation / Receipts,e0b4ec3f7b06ca7ae70b1c935b75031fa2b2c9b9141c1d4ceb552c5341996ccd,sources/city-of-beaumont-2024-25.pdf,https://pub-beaumont.escribemeetings.com/filestream.ashx?DocumentId=8506,2026-09-14T23:05:42.751311+00:00,evidence/extracts/city-of-beaumont-p002-43048b7f.pdf,evidence/outlined/city-of-beaumont-p002-43048b7f.pdf,"[423.87091064453125, 745.4561767578125, 483.1556396484375, 761.836181640625]",published_reported_collection_reviewed_in_release_03,b01-beaumont-2024-25,2026-09-22T02:05:35.963901+00:00,"Each figure is the 'Receipts' column of the single fund roll-forward table on physical page 2, on the row of the named numbered Development Impact Fee fund. Columns are Beginning Fund Balance, Receipts, Disbursements/Transfers Out, Transfers In, Interest Earnings, Ending Fund Balance. Receipts is separate from Interest Earnings and from Transfers In.","Each fund's printed roll-forward closes: Beginning + Receipts + Interest - Disbursements = Ending, which confirms the row and column were read correctly.","This row restates the same printed Receipts figure as the primary row in its figure group. Do not add it to the primary row. | The balance column headers on the same page read July 1, 2023 and June 30, 2024, contradicting the report title, table heading and Government Code section 66006 statement, which all state the fiscal year ended June 30, 2025. | Residential share of these receipts is unknown; the source does not split receipts by land use."
city-of-beaumont-2024-25-transportation-total-fees-collected,City of Beaumont,city,,2024-25,2024-07-01,2025-06-30,Transportation,transportation,total_fees_collected,Receipts,primary_reported_figure,city-of-beaumont-2024-25-p2-294131-19,true,294131.19,"294,131.19",false,not_split_in_source,The report prints a single undivided Receipts figure per fund and no land-use breakdown. Residential share unknown.,not_stated_in_source,not_stated_in_source,report_title_and_section_66006_statement,"City of Beaumont impact fee report, fiscal year 2024-25",annual_fee_report_66006,city-of-beaumont-2024-25,2,2,page 2 / measures as columns / Transportation / Receipts,e0b4ec3f7b06ca7ae70b1c935b75031fa2b2c9b9141c1d4ceb552c5341996ccd,sources/city-of-beaumont-2024-25.pdf,https://pub-beaumont.escribemeetings.com/filestream.ashx?DocumentId=8506,2026-09-14T23:05:42.751311+00:00,evidence/extracts/city-of-beaumont-p002-43048b7f.pdf,evidence/outlined/city-of-beaumont-p002-43048b7f.pdf,"[423.87091064453125, 745.4561767578125, 483.1556396484375, 761.836181640625]",published_reported_collection_reviewed_in_release_03,b01-beaumont-2024-25,2026-09-22T02:05:35.963901+00:00,"Each figure is the 'Receipts' column of the single fund roll-forward table on physical page 2, on the row of the named numbered Development Impact Fee fund. Columns are Beginning Fund Balance, Receipts, Disbursements/Transfers Out, Transfers In, Interest Earnings, Ending Fund Balance. Receipts is separate from Interest Earnings and from Transfers In.","Each fund's printed roll-forward closes: Beginning + Receipts + Interest - Disbursements = Ending, which confirms the row and column were read correctly.","The balance column headers on the same page read July 1, 2023 and June 30, 2024, contradicting the report title, table heading and Government Code section 66006 statement, which all state the fiscal year ended June 30, 2025. | Residential share of these receipts is unknown; the source does not split receipts by land use. | Accounting basis and refund treatment are not stated in the source."
city-of-beverly-hills-2022-23-wastewater-capacity-charge-total_fees_collected,City of Beverly Hills,city,Los Angeles,2022-23,2020-07-01,2023-06-30,Wastewater Capacity Charge,wastewater,total_fees_collected,FEES COLLECTED,primary_reported_figure,city-of-beverly-hills-2022-23-wastewater-capacity-charge,true,189543.0,"189,543",false,not_split_in_source,The report prints one undivided figure of fees collected for this fee and does not divide it by land use.,not_stated_in_source,not_stated_in_source,row_headed_fy_2022_23,Annual Reporting for Mitigation Fee Act - FY23,annual_capacity_charge_report_66013,city-of-beverly-hills-2022-23-78a7735c,3,,Wastewater Capacity Charge / row FY 2022-23 / column FEES COLLECTED,78a7735cdd5e2064e98059b9f1e89e00a647c57ad162f2a8f57aa63af224e7da,sources/city-of-beverly-hills-2022-23-78a7735c.pdf,https://www.beverlyhills.org/DocumentCenter/View/1496/Annual-reporting-for-Mitigation-Fee-Act---FY23-PDF,2026-09-22T08:27:18.028146+00:00,evidence/extracts/city-of-beverly-hills-p003-37c0a365.pdf,evidence/outlined/city-of-beverly-hills-p003-37c0a365.pdf,"[216.03990173339844, 369.4725646972656, 255.9730987548828, 384.3902282714844]",published_reported_collection_reviewed_in_statewide_lane,sw25-per-fee-reports,2026-09-22T19:21:56.273991+00:00,"The outlined figure stands in the column the report heads FEES COLLECTED, on the row it heads FY 2022-23, in its report for Wastewater Capacity Charge.","The row's own printed figures account for each other: BEGINNING FUND NET POSITION 566,210 + FEES COLLECTED 189,543 + INVESTMENT EARNINGS GAIN/(LOSS) 10,444 + OTHER REVENUE 1,680 + EXPENSES -, which is the printed ENDING FUND NET POSITION of 767,876.",This report covers this one fee and prints its collection as a single undivided figure.
city-of-beverly-hills-2022-23-water-capacity-charge-total_fees_collected,City of Beverly Hills,city,Los Angeles,2022-23,2020-07-01,2023-06-30,Water Capacity Charge,water,total_fees_collected,FEES COLLECTED,primary_reported_figure,city-of-beverly-hills-2022-23-water-capacity-charge,true,1141061.0,"1,141,061",false,not_split_in_source,The report prints one undivided figure of fees collected for this fee and does not divide it by land use.,not_stated_in_source,not_stated_in_source,row_headed_fy_2022_23,Annual Reporting for Mitigation Fee Act - FY23,annual_capacity_charge_report_66013,city-of-beverly-hills-2022-23-78a7735c,1,,Water Capacity Charge / row FY 2022-23 / column FEES COLLECTED,78a7735cdd5e2064e98059b9f1e89e00a647c57ad162f2a8f57aa63af224e7da,sources/city-of-beverly-hills-2022-23-78a7735c.pdf,https://www.beverlyhills.org/DocumentCenter/View/1496/Annual-reporting-for-Mitigation-Fee-Act---FY23-PDF,2026-09-22T08:27:18.028146+00:00,evidence/extracts/city-of-beverly-hills-p001-e6f8c822.pdf,evidence/outlined/city-of-beverly-hills-p001-e6f8c822.pdf,"[188.43992614746094, 358.187255859375, 231.9119415283203, 371.9215087890625]",published_reported_collection_reviewed_in_statewide_lane,sw25-per-fee-reports,2026-09-22T19:21:56.273991+00:00,"The outlined figure stands in the column the report heads FEES COLLECTED, on the row it heads FY 2022-23, in its report for Water Capacity Charge.","The row's own printed figures account for each other: BEGINNING FUND NET POSITION 6,298,019 + FEES COLLECTED 1,141,061 + INVESTMENT EARNINGS GAIN/(LOSS) 88,709 + OTHER REVENUE 3,675 + EXPENSES -, which is the printed ENDING FUND NET POSITION of 7,531,463.",This report covers this one fee and prints its collection as a single undivided figure.
city-of-beverly-hills-2022-23-water-supply-charge-total_fees_collected,City of Beverly Hills,city,Los Angeles,2022-23,2020-07-01,2023-06-30,Water Supply Charge,water,total_fees_collected,FEES COLLECTED,primary_reported_figure,city-of-beverly-hills-2022-23-water-supply-charge,true,587763.0,"587,763",false,not_split_in_source,The report prints one undivided figure of fees collected for this fee and does not divide it by land use.,not_stated_in_source,not_stated_in_source,row_headed_fy_2022_23,Annual Reporting for Mitigation Fee Act - FY23,annual_capacity_charge_report_66013,city-of-beverly-hills-2022-23-78a7735c,2,,Water Supply Charge / row FY 2022-23 / column FEES COLLECTED,78a7735cdd5e2064e98059b9f1e89e00a647c57ad162f2a8f57aa63af224e7da,sources/city-of-beverly-hills-2022-23-78a7735c.pdf,https://www.beverlyhills.org/DocumentCenter/View/1496/Annual-reporting-for-Mitigation-Fee-Act---FY23-PDF,2026-09-22T08:27:18.028146+00:00,evidence/extracts/city-of-beverly-hills-p002-d42aeda1.pdf,evidence/outlined/city-of-beverly-hills-p002-d42aeda1.pdf,"[216.03990173339844, 398.03253173828125, 255.9730987548828, 412.9501953125]",published_reported_collection_reviewed_in_statewide_lane,sw25-per-fee-reports,2026-09-22T19:21:56.273991+00:00,"The outlined figure stands in the column the report heads FEES COLLECTED, on the row it heads FY 2022-23, in its report for Water Supply Charge.","The row's own printed figures account for each other: BEGINNING FUND NET POSITION 3,351,591 + FEES COLLECTED 587,763 + INVESTMENT EARNINGS GAIN/(LOSS) 54,725 + OTHER REVENUE 23,472 + EXPENSES -, which is the printed ENDING FUND NET POSITION of 4,017,551.",This report covers this one fee and prints its collection as a single undivided figure.
city-of-beverly-hills-2023-24-wastewater-capacity-charge-total_fees_collected,City of Beverly Hills,city,Los Angeles,2023-24,2020-07-01,2024-06-30,Wastewater Capacity Charge,wastewater,total_fees_collected,FEES COLLECTED,primary_reported_figure,city-of-beverly-hills-2023-24-wastewater-capacity-charge,true,139715.0,"139,715",false,not_split_in_source,The report prints one undivided figure of fees collected for this fee and does not divide it by land use.,not_stated_in_source,not_stated_in_source,row_headed_fy_2023_24,Annual Reporting for Mitigation Fee Act - FY24,annual_capacity_charge_report_66013,city-of-beverly-hills-2023-24-c82c87c6,3,,Wastewater Capacity Charge / row FY 2023-24 / column FEES COLLECTED,c82c87c69fb3e6f9c1b8010d43fa41dc7dca97afe97b5d442158363911f5f4bb,sources/city-of-beverly-hills-2023-24-c82c87c6.pdf,https://www.beverlyhills.org/DocumentCenter/View/9207/Annual-Reporting-for-Mitigation-Fee-Act--FY24-PDF,2026-09-22T08:27:18.499452+00:00,evidence/extracts/city-of-beverly-hills-p003-353a8c09.pdf,evidence/outlined/city-of-beverly-hills-p003-353a8c09.pdf,"[216.03990173339844, 369.4725646972656, 255.9730987548828, 384.3902282714844]",published_reported_collection_reviewed_in_statewide_lane,sw25-per-fee-reports,2026-09-22T19:21:56.273991+00:00,"The outlined figure stands in the column the report heads FEES COLLECTED, on the row it heads FY 2023-24, in its report for Wastewater Capacity Charge.","The row's own printed figures account for each other: BEGINNING FUND NET POSITION 767,876 + FEES COLLECTED 139,715 + INVESTMENT EARNINGS GAIN/(LOSS) - + OTHER REVENUE 7,666 + EXPENSES -, which is the printed ENDING FUND NET POSITION of 915,258. The reading is corroborated across separately published reports: this fee's printed beginning balance 767,876 is the ending balance printed for it in the FY2022-23 report.",This report covers this one fee and prints its collection as a single undivided figure.
city-of-beverly-hills-2023-24-water-capacity-charge-total_fees_collected,City of Beverly Hills,city,Los Angeles,2023-24,2020-07-01,2024-06-30,Water Capacity Charge,water,total_fees_collected,FEES COLLECTED,primary_reported_figure,city-of-beverly-hills-2023-24-water-capacity-charge,true,847773.0,"847,773",false,not_split_in_source,The report prints one undivided figure of fees collected for this fee and does not divide it by land use.,not_stated_in_source,not_stated_in_source,row_headed_fy_2023_24,Annual Reporting for Mitigation Fee Act - FY24,annual_capacity_charge_report_66013,city-of-beverly-hills-2023-24-c82c87c6,1,,Water Capacity Charge / row FY 2023-24 / column FEES COLLECTED,c82c87c69fb3e6f9c1b8010d43fa41dc7dca97afe97b5d442158363911f5f4bb,sources/city-of-beverly-hills-2023-24-c82c87c6.pdf,https://www.beverlyhills.org/DocumentCenter/View/9207/Annual-Reporting-for-Mitigation-Fee-Act--FY24-PDF,2026-09-22T08:27:18.499452+00:00,evidence/extracts/city-of-beverly-hills-p001-eb2db7ff.pdf,evidence/outlined/city-of-beverly-hills-p001-eb2db7ff.pdf,"[195.75991821289062, 358.187255859375, 231.8522491455078, 371.9215087890625]",published_reported_collection_reviewed_in_statewide_lane,sw25-per-fee-reports,2026-09-22T19:21:56.273991+00:00,"The outlined figure stands in the column the report heads FEES COLLECTED, on the row it heads FY 2023-24, in its report for Water Capacity Charge.","The row's own printed figures account for each other: BEGINNING FUND NET POSITION 7,531,463 + FEES COLLECTED 847,773 + INVESTMENT EARNINGS GAIN/(LOSS) 297,732 + OTHER REVENUE 16,572 + EXPENSES -, which is the printed ENDING FUND NET POSITION of 8,693,540. The reading is corroborated across separately published reports: this fee's printed beginning balance 7,531,463 is the ending balance printed for it in the FY2022-23 report.",This report covers this one fee and prints its collection as a single undivided figure.
city-of-beverly-hills-2023-24-water-supply-charge-total_fees_collected,City of Beverly Hills,city,Los Angeles,2023-24,2020-07-01,2024-06-30,Water Supply Charge,water,total_fees_collected,FEES COLLECTED,primary_reported_figure,city-of-beverly-hills-2023-24-water-supply-charge,true,575124.0,"575,124",false,not_split_in_source,The report prints one undivided figure of fees collected for this fee and does not divide it by land use.,not_stated_in_source,not_stated_in_source,row_headed_fy_2023_24,Annual Reporting for Mitigation Fee Act - FY24,annual_capacity_charge_report_66013,city-of-beverly-hills-2023-24-c82c87c6,2,,Water Supply Charge / row FY 2023-24 / column FEES COLLECTED,c82c87c69fb3e6f9c1b8010d43fa41dc7dca97afe97b5d442158363911f5f4bb,sources/city-of-beverly-hills-2023-24-c82c87c6.pdf,https://www.beverlyhills.org/DocumentCenter/View/9207/Annual-Reporting-for-Mitigation-Fee-Act--FY24-PDF,2026-09-22T08:27:18.499452+00:00,evidence/extracts/city-of-beverly-hills-p002-64dffe98.pdf,evidence/outlined/city-of-beverly-hills-p002-64dffe98.pdf,"[204.03990173339844, 373.4149169921875, 241.59066772460938, 387.6107177734375]",published_reported_collection_reviewed_in_statewide_lane,sw25-per-fee-reports,2026-09-22T19:21:56.273991+00:00,"The outlined figure stands in the column the report heads FEES COLLECTED, on the row it heads FY 2023-24, in its report for Water Supply Charge.","The row's own printed figures account for each other: BEGINNING FUND NET POSITION 4,017,551 + FEES COLLECTED 575,124 + INVESTMENT EARNINGS GAIN/(LOSS) 174,898 + OTHER REVENUE 13,301 + EXPENSES -, which is the printed ENDING FUND NET POSITION of 4,780,875. The reading is corroborated across separately published reports: this fee's printed beginning balance 4,017,551 is the ending balance printed for it in the FY2022-23 report.",This report covers this one fee and prints its collection as a single undivided figure.
city-of-beverly-hills-2024-25-wastewater-capacity-charge-total_fees_collected,City of Beverly Hills,city,Los Angeles,2024-25,2020-07-01,2025-06-30,Wastewater Capacity Charge,wastewater,total_fees_collected,FEES COLLECTED,primary_reported_figure,city-of-beverly-hills-2024-25-wastewater-capacity-charge,true,140469.0,"140,469",false,not_split_in_source,The report prints one undivided figure of fees collected for this fee and does not divide it by land use.,not_stated_in_source,not_stated_in_source,row_headed_fy_2024_25,Annual Reporting for Mitigation Fee Act - FY25,annual_capacity_charge_report_66013,city-of-beverly-hills-2024-25-050ffa31,2,,Wastewater Capacity Charge / row FY 2024-25 / column FEES COLLECTED,050ffa31545e55c7c56cfda6bf26d4c2d71a532cd3337587214d9154bfc92823,sources/city-of-beverly-hills-2024-25-050ffa31.pdf,https://www.beverlyhills.org/DocumentCenter/View/13605/Annual-Reporting-for-Mitigation-Fee-Act---FY25-PDF,2026-09-22T08:27:18.686883+00:00,evidence/extracts/city-of-beverly-hills-p002-e67983de.pdf,evidence/outlined/city-of-beverly-hills-p002-e67983de.pdf,"[216.03990173339844, 369.4725646972656, 255.9730987548828, 384.3902282714844]",published_reported_collection_reviewed_in_statewide_lane,sw25-per-fee-reports,2026-09-22T19:21:56.273991+00:00,"The outlined figure stands in the column the report heads FEES COLLECTED, on the row it heads FY 2024-25, in its report for Wastewater Capacity Charge.","The row's own printed figures account for each other: BEGINNING FUND NET POSITION 915,258 + FEES COLLECTED 140,469 + INVESTMENT EARNINGS GAIN/(LOSS) 29,949 + OTHER REVENUE 2,945 + EXPENSES -, which is the printed ENDING FUND NET POSITION of 1,088,621. The reading is corroborated across separately published reports: this fee's printed beginning balance 915,258 is the ending balance printed for it in the FY2023-24 report.",This report covers this one fee and prints its collection as a single undivided figure.
city-of-beverly-hills-2024-25-water-capacity-charge-total_fees_collected,City of Beverly Hills,city,Los Angeles,2024-25,2020-07-01,2025-06-30,Water Capacity Charge,water,total_fees_collected,FEES COLLECTED,primary_reported_figure,city-of-beverly-hills-2024-25-water-capacity-charge,true,1179614.0,"1,179,614",false,not_split_in_source,The report prints one undivided figure of fees collected for this fee and does not divide it by land use.,not_stated_in_source,not_stated_in_source,row_headed_fy_2024_25,Annual Reporting for Mitigation Fee Act - FY25,annual_capacity_charge_report_66013,city-of-beverly-hills-2024-25-050ffa31,1,,Water Capacity Charge / row FY 2024-25 / column FEES COLLECTED,050ffa31545e55c7c56cfda6bf26d4c2d71a532cd3337587214d9154bfc92823,sources/city-of-beverly-hills-2024-25-050ffa31.pdf,https://www.beverlyhills.org/DocumentCenter/View/13605/Annual-Reporting-for-Mitigation-Fee-Act---FY25-PDF,2026-09-22T08:27:18.686883+00:00,evidence/extracts/city-of-beverly-hills-p001-3fabf4e7.pdf,evidence/outlined/city-of-beverly-hills-p001-3fabf4e7.pdf,"[188.43992614746094, 358.187255859375, 231.9119415283203, 371.9215087890625]",published_reported_collection_reviewed_in_statewide_lane,sw25-per-fee-reports,2026-09-22T19:21:56.273991+00:00,"The outlined figure stands in the column the report heads FEES COLLECTED, on the row it heads FY 2024-25, in its report for Water Capacity Charge.","The row's own printed figures account for each other: BEGINNING FUND NET POSITION 8,693,540 + FEES COLLECTED 1,179,614 + INVESTMENT EARNINGS GAIN/(LOSS) 418,761 + OTHER REVENUE 1,788 + EXPENSES -, which is the printed ENDING FUND NET POSITION of 10,293,703. The reading is corroborated across separately published reports: this fee's printed beginning balance 8,693,540 is the ending balance printed for it in the FY2023-24 report.",This report covers this one fee and prints its collection as a single undivided figure.
city-of-beverly-hills-2024-25-water-supply-charge-total_fees_collected,City of Beverly Hills,city,Los Angeles,2024-25,2020-07-01,2025-06-30,Water Supply Charge,water,total_fees_collected,FEES COLLECTED,primary_reported_figure,city-of-beverly-hills-2024-25-water-supply-charge,true,688510.0,"688,510",false,not_split_in_source,The report prints one undivided figure of fees collected for this fee and does not divide it by land use.,not_stated_in_source,not_stated_in_source,row_headed_fy_2024_25,Annual Reporting for Mitigation Fee Act - FY25,annual_capacity_charge_report_66013,city-of-beverly-hills-2024-25-050ffa31,3,,Water Supply Charge / row FY 2024-25 / column FEES COLLECTED,050ffa31545e55c7c56cfda6bf26d4c2d71a532cd3337587214d9154bfc92823,sources/city-of-beverly-hills-2024-25-050ffa31.pdf,https://www.beverlyhills.org/DocumentCenter/View/13605/Annual-Reporting-for-Mitigation-Fee-Act---FY25-PDF,2026-09-22T08:27:18.686883+00:00,evidence/extracts/city-of-beverly-hills-p003-6a8b909f.pdf,evidence/outlined/city-of-beverly-hills-p003-6a8b909f.pdf,"[204.03990173339844, 373.4149169921875, 241.59066772460938, 387.6107177734375]",published_reported_collection_reviewed_in_statewide_lane,sw25-per-fee-reports,2026-09-22T19:21:56.273991+00:00,"The outlined figure stands in the column the report heads FEES COLLECTED, on the row it heads FY 2024-25, in its report for Water Supply Charge.","The row's own printed figures account for each other: BEGINNING FUND NET POSITION 4,780,875 + FEES COLLECTED 688,510 + INVESTMENT EARNINGS GAIN/(LOSS) 262,309 + OTHER REVENUE 4,876 + EXPENSES -, which is the printed ENDING FUND NET POSITION of 5,736,570. The reading is corroborated across separately published reports: this fee's printed beginning balance 4,780,875 is the ending balance printed for it in the FY2023-24 report.",This report covers this one fee and prints its collection as a single undivided figure.
city-of-brawley-2023-24-animal-control-facilities-impact-fee-fund-454-total_fees_collected,City of Brawley,city,Imperial,2023-24,2020-07-01,2024-06-30,Animal Control Facilities Impact Fee (Fund 454),general_public_facilities,total_fees_collected,Developer fees,primary_reported_figure,city-of-brawley-2023-24-animal-control-facilities-impact-fee-fund-454,true,630.0,630,false,not_split_in_source,The page prints one undivided figure of developer fees for this fund and does not divide it by land use.,not_stated_in_source,not_stated_in_source,column_headed_fy_2023_2024,City of Brawley AB1600 Annual DIF Report FY23-24,annual_fee_report_66006,city-of-brawley-2023-24-0198bef5,4,,Animal Control Facilities Impact Fee (Fund 454) / column FY 2023-2024 / line Developer fees,0198bef54d3aacf44ace8db194e16f23f0815f212bf9678f8d77c2260cebed18,sources/city-of-brawley-2023-24-0198bef5.pdf,https://www.brawley-ca.gov/assets/financedocs/0.-city-of-brawley-ab1600-annual-dif-report--fy23-24.pdf,2026-09-22T08:28:00.782711+00:00,evidence/extracts/city-of-brawley-p004-cde49c48.pdf,evidence/outlined/city-of-brawley-p004-cde49c48.pdf,"[432.11199951171875, 261.2020263671875, 451.1861267089844, 275.3606872558594]",published_reported_collection_reviewed_in_statewide_lane,sw36-sources-and-uses,2026-09-22T22:00:10.803620+00:00,"The outlined figure stands on the line the page labels Developer fees, under Revenues & Other Sources, in the column headed FY 2023-2024, on the page for Animal Control Facilities Impact Fee (Fund 454).","The page accounts for itself four ways: Developer fees 630 + Interest income 581 add to the printed Total Sources of 1,211; no use lines add to the printed Total Uses of 0; 1,211 less 0 is 1,211, the year's figure on the Total Available row; and the beginning balance 19,763 with that figure gives the ending balance 20,974. Every line stands in the column headed FY 2023-2024.",The page gives this fund's developer fees as one figure beside interest and other sources it prints on separate lines.
city-of-brawley-2023-24-fire-facilities-impact-fee-fund-453-total_fees_collected,City of Brawley,city,Imperial,2023-24,2020-07-01,2024-06-30,Fire Facilities Impact Fee (Fund 453),fire_emergency,total_fees_collected,Developer fees,primary_reported_figure,city-of-brawley-2023-24-fire-facilities-impact-fee-fund-453,true,12929.0,"12,929",false,not_split_in_source,The page prints one undivided figure of developer fees for this fund and does not divide it by land use.,not_stated_in_source,not_stated_in_source,column_headed_fy_2023_2024,City of Brawley AB1600 Annual DIF Report FY23-24,annual_fee_report_66006,city-of-brawley-2023-24-0198bef5,3,,Fire Facilities Impact Fee (Fund 453) / column FY 2023-2024 / line Developer fees,0198bef54d3aacf44ace8db194e16f23f0815f212bf9678f8d77c2260cebed18,sources/city-of-brawley-2023-24-0198bef5.pdf,https://www.brawley-ca.gov/assets/financedocs/0.-city-of-brawley-ab1600-annual-dif-report--fy23-24.pdf,2026-09-22T08:28:00.782711+00:00,evidence/extracts/city-of-brawley-p003-bcbd988a.pdf,evidence/outlined/city-of-brawley-p003-bcbd988a.pdf,"[410.0726318359375, 267.9839782714844, 439.87188720703125, 281.47430419921875]",published_reported_collection_reviewed_in_statewide_lane,sw36-sources-and-uses,2026-09-22T22:00:10.803620+00:00,"The outlined figure stands on the line the page labels Developer fees, under Revenues & Other Sources, in the column headed FY 2023-2024, on the page for Fire Facilities Impact Fee (Fund 453).","The page accounts for itself four ways: Developer fees 12,929 + Interest income 8,553 add to the printed Total Sources of 21,482; Construction 252,093 add to the printed Total Uses of 252,093; 21,482 less 252,093 is (230,611), the year's figure on the Total Available row; and the beginning balance 382,473 with that figure gives the ending balance 151,862. Every line stands in the column headed FY 2023-2024.",The page gives this fund's developer fees as one figure beside interest and other sources it prints on separate lines.
city-of-brawley-2023-24-general-government-facilities-impact-fee-fund-451-total_fees_collected,City of Brawley,city,Imperial,2023-24,2020-07-01,2024-06-30,General Government Facilities Impact Fee (Fund 451),general_public_facilities,total_fees_collected,Developer fees,primary_reported_figure,city-of-brawley-2023-24-general-government-facilities-impact-fee-fund-451,true,10387.0,"10,387",false,not_split_in_source,The page prints one undivided figure of developer fees for this fund and does not divide it by land use.,not_stated_in_source,not_stated_in_source,column_headed_fy_2023_2024,City of Brawley AB1600 Annual DIF Report FY23-24,annual_fee_report_66006,city-of-brawley-2023-24-0198bef5,1,,General Government Facilities Impact Fee (Fund 451) / column FY 2023-2024 / line Developer fees,0198bef54d3aacf44ace8db194e16f23f0815f212bf9678f8d77c2260cebed18,sources/city-of-brawley-2023-24-0198bef5.pdf,https://www.brawley-ca.gov/assets/financedocs/0.-city-of-brawley-ab1600-annual-dif-report--fy23-24.pdf,2026-09-22T08:28:00.782711+00:00,evidence/extracts/city-of-brawley-p001-c6a9da18.pdf,evidence/outlined/city-of-brawley-p001-c6a9da18.pdf,"[408.447998046875, 219.1094970703125, 437.4656677246094, 232.19847106933594]",published_reported_collection_reviewed_in_statewide_lane,sw36-sources-and-uses,2026-09-22T22:00:10.803620+00:00,"The outlined figure stands on the line the page labels Developer fees, under Revenues & Other Sources, in the column headed FY 2023-2024, on the page for General Government Facilities Impact Fee (Fund 451).","The page accounts for itself four ways: Developer fees 10,387 + Interest income 10,815 add to the printed Total Sources of 21,202; Equipment 3,650 add to the printed Total Uses of 3,650; 21,202 less 3,650 is 17,552, the year's figure on the Total Available row; and the beginning balance 372,178 with that figure gives the ending balance 389,730. Every line stands in the column headed FY 2023-2024.",The page gives this fund's developer fees as one figure beside interest and other sources it prints on separate lines.
